cell_id,centroid_lat,centroid_lon,area_km2,wind_speed,wind_confidence,demand_proxy,source_region,demand_confidence,dist_transmission_km,dist_substation_km,dist_connection_km,inside_rez,rez_name,infra_confidence,elevation_m,slope_deg,tri,land_use,protected_area,protected_area_name,geo_confidence,eligible,exclusion_reason,triggered_rules,data_flags,n_missing_features
S28.186_E142.436,-28.18625,142.43625000000003,27.204759104804705,7.027409646511078,valid,1.0,QLD1,high,400.4167104477439,400.4398492056115,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.486,-28.18625,142.48625,27.204759104817956,6.844996621608734,valid,1.0,QLD1,high,396.3611053579088,396.3837450333647,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.536,-28.18625,142.53625000000002,27.204759104816734,6.718143233060837,valid,1.0,QLD1,high,392.3224759668127,392.3446055252057,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.586,-28.18625,142.58625000000004,27.20475910480312,6.849738212823868,valid,1.0,QLD1,high,388.3013525835838,388.32296068343777,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.636,-28.18625,142.63625000000002,27.20475910481781,6.969035947322846,valid,1.0,QLD1,high,384.2982853590155,384.3193603440168,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.686,-28.18625,142.68625000000003,27.204759104805113,6.790237033367157,valid,1.0,QLD1,high,380.31384507715114,380.3343749681194,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.736,-28.18625,142.73625,27.204759104817576,6.573294891119003,valid,1.0,QLD1,high,376.34862397430686,376.36859646117773,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.786,-28.18625,142.78625000000002,27.204759104805248,6.660030353069305,valid,1.0,QLD1,high,372.40323658556406,372.4226390194178,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.836,-28.18625,142.83625000000004,27.204759104815864,6.568434647321701,valid,1.0,QLD1,high,368.4783206187368,368.4971400039089,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.886,-28.18625,142.88625000000002,27.204759104805895,6.427862706184388,valid,1.0,QLD1,high,364.5745378555202,364.59276084183784,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.936,-28.18625,142.93625000000003,27.204759104815135,6.582047444581986,valid,1.0,QLD1,high,360.69257507940887,360.71018795460003,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E142.986,-28.18625,142.98625,27.20475910480379,6.683781726360321,valid,1.0,QLD1,high,356.83314502972166,356.85013371205076,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.036,-28.18625,143.03625000000002,27.204759104819647,6.3775589668750765,valid,1.0,QLD1,high,352.99698738076427,353.0133374119551,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.086,-28.18625,143.08625000000004,27.204759104804918,6.193565065860748,valid,1.0,QLD1,high,349.18486974493266,349.2005662834444,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.136,-28.18625,143.13625000000002,27.20475910481801,6.290271791219712,valid,1.0,QLD1,high,345.3975886981336,345.41261651286567,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.186,-28.18625,143.18625000000003,27.204759104802637,6.19924035191536,valid,1.0,QLD1,high,341.6359708255565,341.6503142900643,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.236,-28.18625,143.23625,27.204759104816493,5.928684426546097,valid,1.0,QLD1,high,337.9008737854146,337.9145168727278,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.286,-28.18625,143.28625000000002,27.204759104801614,5.871061253547668,valid,1.0,QLD1,high,334.1931873876715,334.20611366581653,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
